CSCO,MNST,TCOM,GILD,SWKS,LRCX,CHTR,MXIM,TTWO,AMD,MELI,ADBE,ALGN,PEP,COST,MDLZ,SNPS,BIIB,SBUX,XEL,BIDU,AMZN,INTC,WDC,SIRI,ATVI,IDXX,BKNG,TXN,ADP,CTSH,ROST,CTXS,FAST,MSFT,ADSK,NTES,NTAP,ASML,KLAC,CTAS,NVDA,INCY,MAR,PCAR,CMCSA,VRSK,LBTYA,ISRG,VRTX,AMAT,EBAY,DLTR,ALXN,REGN,LBTYK,NFLX,UAL,TTWO,VRSN,WLTW,EXC,ADI,ORLY,GOOGL,ULTA,WBA,GOOG,AVGO,AMGN,CSX,CHKP,PAYX,QCOM,MU,SGEN,CDNS,BMRN,FISV,INTU,EA,ANSS,AAL,CSGP,ILMN,AAPL,TMUS,XLNX,CERN,LULU,CHP,CPRT,NDX100_1990_2020,SP500_1990_2020,DJI30_1990_2020
19.043219,6.975,19.535,20.80883,14.402017,32.065277,30.1,13.469389,9.44,8.21,41.414967,34.889999,18.780001,46.552479,47.900707,15.173616,22.08,56.779999,9.887807,14.459682,52.291,124.540001,15.366076,32.455143,0.850461,10.003056,27.110001,238.539993,19.074741,28.653837,24.363031,11.163546,34.134666,8.699923,22.885929,28.15,33.165138,27.228836,22.674978,18.320713,21.683441,15.508389,11.5,22.549137,25.484404,6.989579,28.202597,14.026571,119.543335,41.43,10.221678,9.855751,18.426666,25.535,25.370001,13.455,9.957143,18.030001,9.44,21.602404,63.272011,29.104494,22.840273,39.57,266.611603,18.908426,28.090818,265.350403,15.19528,46.286148,13.214058,32.91,21.292475,27.046665,9.77,10.77,5.76,20.67,12.2275,30.049101,16.870001,44.299999,7.249681,39.630001,37.990002,25.915976,9.822725,20.995541,21.064674,15.11,20.446507,9.0675,1846.400024,1115.709961,10403.79004
19.050959,6.965,18.965,20.821976,14.484736,32.37553,30.4,13.455107,9.28,8.38,41.133957,34.740002,18.959999,46.824005,47.690918,15.274003,22.209999,57.310001,9.904788,14.597253,51.888,125.529999,15.240916,31.757631,0.850461,9.88419,27.709999,241.339996,18.958574,28.571922,24.618822,11.15902,33.799164,8.680553,22.4443,28.49,32.70631,26.908596,23.667099,18.393648,21.484671,15.499187,11.44,22.259195,26.248299,6.977119,27.825239,14.144098,120.433334,41.84,10.15626,9.901152,18.68,25.885,25.209999,13.585,9.854285,17.870001,9.28,21.449556,63.586563,29.025932,22.687092,39.529999,270.800812,19.452339,27.948061,269.519775,15.544028,46.261765,13.255079,33.130001,21.081583,28.84927,9.57,10.84,5.95,21.219999,12.2625,30.259167,16.74,44.619999,7.240254,39.959999,38.02,25.898617,10.131718,20.979637,20.806637,15.52,20.29775,9.2525,1851.209961,1118.310059,10405.98047
19.229004,6.9,18.209999,20.835112,14.282538,32.120041,30.75,13.355122,9.03,8.35,41.725048,34.82,18.75,47.28968,47.14703,15.305697,22.190001,56.790001,9.790158,14.604141,51.702,125.889999,15.108387,30.979919,0.907796,10.030487,27.950001,235.820007,18.89662,28.612879,24.054148,11.197513,34.220486,8.719292,22.4443,28.610001,32.100319,27.038414,23.954668,18.375414,21.666155,15.305908,11.43,22.134933,27.054636,7.043568,27.437948,14.144098,120.933334,41.98,10.131729,9.703046,18.540001,25.965,24.98,13.595,9.65,18.25,9.03,21.52598,63.31395,29.111036,22.509727,39.259998,272.932922,19.74902,28.04323,271.641815,15.70179,46.286148,13.121079,33.200001,21.341679,29.427311,9.45,11.21,6.01,21.450001,12.3025,30.332233,16.809999,44.459999,7.04228,41.049999,38.880001,25.958138,10.294346,20.836487,20.580856,15.62,20.089487,8.7575,1851.569946,1118.790039,10396.75977
19.314154,6.96,18.84,20.611736,14.264154,31.499537,31.02,13.412257,10.02,8.5,42.044815,34.939999,18.83,47.385765,47.240265,15.363817,22.27,56.66,9.730721,14.487196,52.377998,128.529999,15.115746,31.613304,0.888685,10.085347,27.719999,233.119995,19.105721,28.476345,23.952799,11.562082,34.321915,8.732847,22.578362,28.469999,32.888103,27.142279,23.724611,18.253841,21.847645,15.333519,11.34,22.358603,27.189018,7.130784,27.050661,14.179867,118.16333,41.599998,10.025424,9.81448,18.726667,26.235001,24.809999,13.675,9.715714,18.059999,10.02,22.290215,63.88018,29.2747,22.417185,39.52,277.572571,20.975298,27.757719,276.259521,15.826337,46.180405,13.142961,33.560001,21.320591,29.853251,9.41,11.18,6.18,21.67,12.2875,30.533176,16.82,44.23,6.900869,41.110001,38.27,26.129267,10.359397,20.852386,20.565969,15.915,20.082054,8.66,1859.719971,1122.969971,10444.13965
19.51543,6.901667,19.315001,20.852631,14.493924,31.682035,31.75,13.583657,9.99,8.61,43.265743,35.16,19.17,47.577946,47.14703,15.50118,22.440001,57.209999,9.92177,14.576623,52.075001,128.910004,15.307178,31.468987,0.89824,10.085347,28.225,235.339996,19.338057,29.479939,24.454727,11.580199,34.805653,8.85099,22.546816,28.85,33.926952,27.739481,24.306944,18.411886,22.0637,15.802915,11.6,23.087599,27.733654,7.238762,27.189686,14.44558,119.466667,41.52,10.049953,10.165291,18.923334,26.865,25.51,13.845,9.664286,18.23,9.99,22.502504,64.257683,29.785292,22.748781,39.720001,282.38739,21.163197,27.749794,281.051544,16.075445,46.562725,13.391813,33.75,21.875925,29.480562,9.46,11.78,6.22,22.040001,12.4325,30.971575,17.120001,44.869999,7.00457,41.91,38.82,27.151081,10.37566,21.242085,20.995205,16.440001,20.275436,8.8475,1888.560059,1138.699951,10566.2002
20.227613,6.858333,19.700001,20.589838,14.631789,31.891895,31.75,13.505098,10.18,8.64,44.031254,35.060001,19.27,47.415321,47.139267,15.411365,22.459999,57.669998,9.900542,14.549107,53.432999,130.110001,15.292454,31.749603,0.860017,10.158496,28.285,240.179993,19.121208,29.459459,24.141024,11.727384,35.102131,8.802572,22.578362,28.91,34.411758,28.137611,24.702353,18.314632,22.478527,15.572819,11.99,23.112455,27.578043,7.292751,28.828217,14.4558,118.65667,41.400002,10.107196,10.251963,18.946667,26.84,25.469999,13.92,9.811429,17.52,10.18,22.54496,64.509354,29.674017,22.7642,39.77,281.521515,20.747843,27.551533,280.189789,16.033918,46.86372,13.408223,33.759998,21.967304,29.50338,9.59,11.81,6.25,22.360001,12.4775,31.035521,17.280001,44.93,6.900869,41.310001,38.669998,27.167196,10.652128,21.178459,20.771902,16.530001,20.148993,8.8775,1890.890015,1138.5,10552.51953
20.227613,6.818333,19.370001,20.77817,14.521499,31.7094,32.75,13.512245,10.39,8.63,45.000252,35.119999,19.440001,47.570534,46.719696,15.443063,22.540001,57.84,10.027909,14.53535,53.91,128.820007,15.417619,31.100176,0.869573,10.158496,28.075001,238.330002,18.733982,29.814468,24.271332,11.657189,35.874554,8.771585,22.712425,29.059999,34.506973,28.17223,24.479486,18.083647,22.59952,16.15266,12.59,23.278137,28.016575,7.271987,28.252251,14.4558,118.553337,42.080002,10.049953,10.528484,18.676666,26.74,25.65,13.93,9.991428,18.16,10.39,22.510996,65.557953,29.438345,22.555994,39.740002,280.375366,20.935741,27.273947,279.049042,16.067142,46.985725,13.542223,34.040001,22.143045,29.41971,9.41,11.76,6.3,22.120001,12.515,31.008118,17.58,44.66,7.268538,41.369999,39,27.655781,10.733441,21.170506,20.821526,16.85,20.022554,8.7375,1901.380005,1140.449951,10564.37988
20.026348,6.813334,19.434999,20.708092,14.475545,32.448547,33,13.776492,10.5,8.92,45.271576,35.150002,19.469999,47.62228,46.494366,15.522312,22.75,58.709999,10.286884,14.521594,54.917,130.509995,15.601688,30.522917,0.888685,10.222501,27.975,240.990005,19.043764,30.192915,24.522301,11.790789,36.373894,8.767711,22.846493,29.18,34.481003,28.717503,24.795822,18.314632,22.832861,16.18947,12.42,23.278137,28.122677,7.280295,28.331694,14.532448,119.146667,43.02,10.246212,10.549121,18.716667,26.879999,25.780001,13.99,10.182858,18.98,10.5,22.842165,65.453079,29.530001,23.196043,40.259998,288.513519,21.23242,27.17878,287.148682,16.390974,47.002003,13.643407,34.5,22.346901,29.571836,9.87,11.73,6.4,23,12.625,31.483063,17.889999,45.130001,7.485367,41.799999,39.439999,27.881474,10.749704,21.393187,21.000164,16.855,20.290316,8.785,1917.349976,1145.609985,10567.33008
20.10375,6.898334,19.4,20.629257,14.365254,31.700293,32.5,13.669363,10.22,8.95,45.765766,35.220001,19.43,48.021408,46.540997,15.543447,22.65,58.779999,10.303865,14.507832,55.41,133.580002,15.645864,31.156305,0.869573,10.52424,27.934999,242.210007,18.641047,30.227331,24.618822,11.913066,36.873238,8.758029,23.01211,29.030001,34.654148,28.838671,24.788624,18.229523,23.040276,15.82132,13.07,23.46867,28.158043,7.296906,27.994057,14.563107,119.26667,43,10.148084,10.499594,18.683332,26.775,25.5,14.045,10.17,19.17,10.22,22.697807,65.64183,29.412163,22.494303,40.330002,290.86087,21.301647,26.917065,289.484924,16.490612,46.766094,13.859448,34.700001,22.410166,29.739159,9.8,11.86,6.36,23.809999,12.5625,31.546989,17.9,45.139999,7.391092,41.990002,40.299999,27.96332,10.944858,21.075071,21.126701,17.084999,20.46138,8.81,1923.810059,1150.23999,10611.83984
20.034082,7.005,19.325001,20.769415,14.117102,31.262283,32.5,13.647936,10.13,8.93,47.141739,35.16,19.18,48.117481,46.750771,15.559299,22.75,58.759998,10.308111,14.466561,55.023998,131.820007,15.660592,30.771469,0.869573,10.487663,28.129999,238.910004,18.586832,30.144754,24.517467,11.983265,37.513016,8.767711,23.083084,29.16,34.801327,28.48382,24.759867,17.901287,23.048916,15.876545,13,23.775179,29.247297,7.23461,28.003986,14.476239,119.633331,43.459999,10.107196,10.718336,18.77,26.42,24.690001,13.97,9.997143,19.68,10.13,22.621384,65.914467,28.908104,22.347786,40.43,290.060059,23.07184,26.909136,288.687927,16.316242,46.717281,13.941496,34.759998,22.585903,29.625069,9.97,11.79,6.36,23.02,12.605,31.610916,17.77,45.169998,7.494795,42.290001,40.509998,28.099728,10.879807,21.16256,21.139107,17.58,20.996901,8.845,1924.430054,1149.98999,10624.69043
20.188908,6.995,18.985001,20.813211,14.117102,29.82053,33,13.597944,10.12,8.92,45.029327,35.490002,18.540001,48.8936,47.046032,15.617412,22.65,58.900002,10.367547,14.549107,57.683998,131.130005,15.586965,30.667233,0.879129,10.551669,28.309999,238.860001,18.540369,30.440632,24.541603,12.125924,38.23082,8.88585,23.09885,29.26,34.654148,28.405918,24.076889,17.074608,23.143982,15.793709,12.98,23.7089,29.28266,7.280295,27.904684,14.353602,118.666664,43.240002,10.000891,10.84628,18.986666,26.424999,24.780001,13.86,9.942857,19.879999,10.12,22.808199,65.977379,29.06522,22.301516,40.459999,281.871857,21.865339,27.09947,280.538483,16.125263,46.278019,13.979776,34.599998,22.803822,29.564213,9.73,12.25,6.32,22.629999,12.6725,31.638327,17.870001,45.209999,7.447657,42.869999,39.98,27.757462,10.78223,20.955778,20.980314,17.834999,20.706825,8.88,1920.089966,1150.51001,10642.15039
